Регион,Год,Заболеваемость_инфекции_на_1000,Коэффициент_смертности_населения,Численность_населения,Оборотная_вода_млн_м3
Белгородская область,2004,41.3,16.2,1511.7,1610.0
Брянская область,2004,33.8,19.1,1344.1,63.0
Владимирская область,2004,46.5,20.1,1497.6,339.0
Воронежская область,2004,26.1,18.5,2364.9,2419.0
Ивановская область,2004,31.6,21.6,1116.7,223.0
Калужская область,2004,34.6,18.6,1027.6,144.0
Костромская область,2004,35.6,21.3,712.0,185.0
Курская область,2004,40.0,19.5,1195.8,5827.0
Липецкая область,2004,31.7,18.2,1198.6,2052.0
Московская область,2004,29.4,17.3,6736.7,3582.0
Орловская область,2004,28.7,18.8,835.2,356.0
Рязанская область,2004,48.2,20.1,1199.4,2261.0
Смоленская область,2004,45.1,21.1,1032.3,4493.0
Тамбовская область,2004,27.0,19,1150.8,255.0
Тверская область,2004,40.1,23.1,1432.6,2494.0
Тульская область,2004,31.9,21.6,1631.8,2684.0
Ярославская область,2004,41.1,20.1,1329.8,587.0
г. Москва,2004,32.3,12.3,10726.4,5671.0
Республика Карелия,2004,57.3,18.8,689.6,930.0
Республика Коми,2004,59.1,15.3,982.9,1373.0
Архангельская область,2004,54.5,17.6,1299.2,824.0
Ненецкий автономный округ,2004,65.3,12.4,41.9,1.87
Вологодская область,2004,41.2,19.1,1245.8,3650.0
Калининградская область,2004,45.8,18.2,942.1,180.0
Ленинградская область,2004,29.1,20,1681.5,1379.0
Мурманская область,2004,45.9,13.5,856.9,1038.0
Новгородская область,2004,32.5,22.4,674.5,564.0
Псковская область,2004,25.1,24.2,734.5,12.0
г. Санкт-Петербург,2004,47.7,16,4686.5,761.0
Республика Адыгея (Адыгея),2004,31.6,15,443.3,30.0
Республика Калмыкия,2004,32.1,10.9,293.2,1.03
Краснодарский край,2004,28.8,15.3,5118.9,1078.0
Астраханская область,2004,35.6,14.9,1006.5,308.0
Волгоградская область,2004,40.4,15.4,2656.2,1760.0
Ростовская область,2004,27.2,15.8,4352.7,2095.0
Республика Дагестан,2004,44.6,6,2652.7,24.0
Республика Ингушетия,2004,34.4,4,433.7,26.0
Кабардино-Балкарская Республика,2004,11.1,9.8,877.3,20.0
Карачаево-Черкесская Республика,2004,36.2,11.3,450.2,67.0
Республика Северная Осетия — Алания,2004,23.4,12.3,706.4,66.0
Чеченская Республика,2004,38.3,5.6,1133.2,0.0
Ставропольский край,2004,22.4,14.2,2741.1,962.0
Республика Башкортостан,2004,33.3,14.1,4081.3,4994.0
Республика Марий Эл,2004,45.8,16.8,718.3,156.0
Республика Мордовия,2004,39.4,16.9,871.8,272.0
Республика Татарстан (Татарстан),2004,33.9,13.6,3768.2,4987.0
Удмуртская Республика,2004,54.6,15.4,1554.3,386.0
Чувашская Республика — Чувашия,2004,41.5,14.9,1291.0,456.0
Пермский край,2004,51.9,17.7,2751.6,1941.0
Кировская область,2004,40.8,19,1445.3,1145.0
Нижегородская область,2004,29.1,19.8,3447.9,1639.0
Оренбургская область,2004,38.8,15.1,2122.5,1805.0
Пензенская область,2004,34.8,17.9,1431.0,77.0
Самарская область,2004,41.8,16.1,3225.3,4077.0
Саратовская область,2004,31.7,16.9,2615.6,7086.0
Ульяновская область,2004,56.4,16.8,1354.6,904.0
Курганская область,2004,38.1,17.8,981.0,364.0
Свердловская область,2004,39.3,16.7,4394.1,12290.0
Тюменская область,2004,50.1,9.8,3288.3,9131.0
Ханты-Мансийский автономный округ — Югра,2004,56.2,6.7,1462.2,7961.0
Ямало-Ненецкий автономный округ,2004,59.6,5.8,514.6,80.0
Челябинская область,2004,46.9,16.3,3541.8,8320.0
Республика Алтай,2004,66.4,14.9,202.3,11.0
Республика Тыва,2004,57.9,13.4,304.1,31.0
Республика Хакасия,2004,57.6,16.2,538.0,318.0
Алтайский край,2004,38.8,15.9,2539.4,969.0
Красноярский край,2004,46.3,15.2,2901.9,2980.0
Иркутская область,2004,50.2,16.6,2524.1,2280.0
Кемеровская область — Кузбасс,2004,40.4,18,2833.0,4383.0
Новосибирская область,2004,39.4,15.4,2666.0,844.0
Омская область,2004,51.3,15,2034.1,1105.0
Томская область,2004,50.8,14.1,1029.9,2525.0
Республика Бурятия,2004,28.7,15.3,971.0,259.0
Республика Саха (Якутия),2004,30.6,10.2,953.2,1188.0
Забайкальский край,2004,33.9,17.1,1132.8,584.0
Камчатский край,2004,52.0,12.4,343.9,24.0
Приморский край,2004,53.1,15.8,2028.4,2058.0
Хабаровский край,2004,45.8,16.2,1396.8,1324.0
Амурская область,2004,40.7,17.4,874.0,848.0
Магаданская область,2004,67.5,13.5,173.9,351.0
Сахалинская область,2004,58.5,16.2,529.8,273.0
Еврейская автономная область,2004,53.2,17.2,185.8,13.0
Чукотский автономный округ,2004,50.1,12,51.8,165.0
Белгородская область,2005,40.1,16,1511.7,1618.0
Брянская область,2005,33.3,19.8,1327.7,60.0
Владимирская область,2005,42,20.2,1486.5,338.0
Воронежская область,2005,23.2,18.5,2360.9,2524.0
Ивановская область,2005,29.1,22,1101.8,196.0
Калужская область,2005,31.1,19.1,1023.3,145.0
Костромская область,2005,32.3,21.3,699.8,188.0
Курская область,2005,32.5,19.8,1177.6,6046.0
Липецкая область,2005,28.5,17.7,1193.9,2042.0
Московская область,2005,27.1,17.1,6783.8,3419.0
Орловская область,2005,35.5,18.8,822.1,362.0
Рязанская область,2005,51.7,20.2,1188.8,2182.0
Смоленская область,2005,41.5,21.2,1025.4,4713.0
Тамбовская область,2005,24.3,19.3,1138.6,254.0
Тверская область,2005,37.2,23,1415.3,2492.0
Тульская область,2005,30.6,21.8,1615.2,2884.0
Ярославская область,2005,39.2,20.1,1312.8,621.0
г. Москва,2005,30.8,11.9,10923.8,5860.0
Республика Карелия,2005,56.5,18.5,676.0,995.0
Республика Коми,2005,59.6,15.5,963.0,1336.0
Архангельская область,2005,55,17.1,1281.8,841.0
Ненецкий автономный округ,2005,75.4,12.2,41.9,2.6
Вологодская область,2005,40.7,18.8,1234.9,3614.0
Калининградская область,2005,43,18.2,936.6,173.0
Ленинградская область,2005,25.6,19.9,1685.4,1413.0
Мурманская область,2005,41,13.8,839.4,1006.0
Новгородская область,2005,32.9,22.5,665.6,560.0
Псковская область,2005,24.1,24.6,720.8,12.0
г. Санкт-Петербург,2005,49.3,15.6,4712.9,676.0
Республика Адыгея (Адыгея),2005,27.5,15.2,441.0,29.0
Республика Калмыкия,2005,27,11.4,293.5,1.0
Краснодарский край,2005,25.7,15.6,5127.3,1195.0
Астраханская область,2005,31.2,15.4,1002.5,295.0
Волгоградская область,2005,37.8,15.7,2640.4,1866.0
Ростовская область,2005,24.7,15.8,4332.4,2014.0
Республика Дагестан,2005,42.5,5.8,2692.6,22.0
Республика Ингушетия,2005,43.2,4.3,417.4,27.0
Кабардино-Балкарская Республика,2005,13.4,10.4,866.2,16.0
Карачаево-Черкесская Республика,2005,32,11.3,454.5,62.0
Республика Северная Осетия — Алания,2005,18.7,12.2,706.9,63.0
Чеченская Республика,2005,…,5.1,1152.3,0.0
Ставропольский край,2005,23.4,14.2,2746.9,987.0
Республика Башкортостан,2005,33.9,14.2,4066.3,5191.0
Республика Марий Эл,2005,38.5,17.1,713.4,167.0
Республика Мордовия,2005,35.5,17.1,864.7,266.0
Республика Татарстан (Татарстан),2005,33.6,13.8,3761.6,4907.0
Удмуртская Республика,2005,52.8,15.5,1545.8,422.0
Чувашская Республика — Чувашия,2005,43.6,15.3,1278.9,421.0
Пермский край,2005,54.9,18.1,2718.8,2012.0
Кировская область,2005,39.7,19.3,1418.7,1056.0
Нижегородская область,2005,29.4,20,3414.3,1655.0
Оренбургская область,2005,39,15.7,2093.5,1699.0
Пензенская область,2005,37.2,18.1,1420.1,75.0
Самарская область,2005,38.9,16.1,3225.6,3995.0
Саратовская область,2005,30.9,16.9,2591.2,6101.0
Ульяновская область,2005,57,16.9,1340.3,926.0
Курганская область,2005,36.3,17.9,961.8,354.0
Свердловская область,2005,41,16.8,4356.4,12488.0
Тюменская область,2005,49.8,9.9,3293.8,9763.0
Ханты-Мансийский автономный округ — Югра,2005,52.4,7.1,1467.8,8637.0
Ямало-Ненецкий автономный округ,2005,61.9,6,517.4,57.0
Челябинская область,2005,45.5,16.4,3516.7,8229.0
Республика Алтай,2005,68.1,15.7,201.7,11.0
Республика Тыва,2005,55.2,14.3,302.9,27.0
Республика Хакасия,2005,49.9,17.6,533.8,322.0
Алтайский край,2005,39.6,16.9,2503.5,964.0
Красноярский край,2005,42.7,15.8,2869.3,3064.0
Иркутская область,2005,51.2,17.2,2492.2,2135.0
Кемеровская область — Кузбасс,2005,44.3,18.9,2805.9,4582.0
Новосибирская область,2005,37.4,16.1,2654.9,922.0
Омская область,2005,52.1,15.6,2016.3,1052.0
Томская область,2005,44.6,14.6,1024.3,2468.0
Республика Бурятия,2005,24.1,15.6,966.9,271.0
Республика Саха (Якутия),2005,32.6,10.2,954.4,1136.0
Забайкальский край,2005,35.1,17.3,1123.3,667.0
Камчатский край,2005,46.7,12.9,336.6,27.0
Приморский край,2005,44.6,16.3,2006.5,2058.0
Хабаровский край,2005,42,16.6,1376.3,1299.0
Амурская область,2005,39.5,17.2,861.0,819.0
Магаданская область,2005,66,13.7,170.4,307.0
Сахалинская область,2005,50,17.5,521.1,272.0
Еврейская автономная область,2005,48.2,18.3,181.7,13.0
Чукотский автономный округ,2005,56.8,11.5,52.4,177.0
Белгородская область,2006,41.0,15.3,1514.2,1626.0
Брянская область,2006,30.7,18.7,1312.7,116.0
Владимирская область,2006,42.9,19.1,1475.9,330.0
Воронежская область,2006,24.0,17.7,2353.8,3618.0
Ивановская область,2006,30.4,19.9,1089.8,198.0
Калужская область,2006,29.0,17.5,1020.2,144.0
Костромская область,2006,31.5,19.2,689.8,277.0
Курская область,2006,31.1,19.2,1161.6,5463.0
Липецкая область,2006,30.5,17.2,1190.4,2052.0
Московская область,2006,25.5,16.6,6846.8,3789.0
Орловская область,2006,34.3,18.2,811.4,391.0
Рязанская область,2006,47.5,19.1,1181.5,2378.0
Смоленская область,2006,35.3,20.3,1017.9,4752.0
Тамбовская область,2006,22.0,18.1,1127.0,259.0
Тверская область,2006,37.4,21.7,1398.9,4524.0
Тульская область,2006,32.0,20.7,1600.1,2696.0
Ярославская область,2006,39.0,18.5,1300.0,598.0
г. Москва,2006,29.9,11.6,11091.4,5810.0
Республика Карелия,2006,52.6,17.5,665.0,1057.0
Республика Коми,2006,56.8,14.2,944.8,1386.0
Архангельская область,2006,49.5,15.9,1266.7,861.0
Ненецкий автономный округ,2006,67.4,12.9,41.8,6.0
Вологодская область,2006,43.2,17.1,1225.8,3641.0
Калининградская область,2006,44.0,16.5,934.3,288.0
Ленинградская область,2006,22.7,18.7,1691.1,1355.0
Мурманская область,2006,43.3,13.2,824.0,980.0
Новгородская область,2006,34.1,21.5,657.6,552.0
Псковская область,2006,25.7,23.4,708.2,11.0
г. Санкт-Петербург,2006,46.1,14.8,4747.6,716.0
Республика Адыгея (Адыгея),2006,24.8,15.2,438.6,29.0
Республика Калмыкия,2006,25.2,10.9,293.0,0.93
Краснодарский край,2006,24.3,14.7,5142.9,1220.0
Астраханская область,2006,35.0,14.6,1001.3,267.0
Волгоградская область,2006,43.9,15.2,2630.0,1806.0
Ростовская область,2006,24.1,15.4,4314.6,1946.0
Республика Дагестан,2006,42.8,5.9,2735.8,22.0
Республика Ингушетия,2006,26.1,4.4,406.7,26.0
Кабардино-Балкарская Республика,2006,12.3,10.2,858.5,15.0
Карачаево-Черкесская Республика,2006,26.7,10.7,461.6,61.0
Республика Северная Осетия — Алания,2006,22.5,11.5,708.8,40.0
Чеченская Республика,2006,33.0,5.1,1172.0,0.0
Ставропольский край,2006,25.3,14,2747.1,946.0
Республика Башкортостан,2006,35.5,13.6,4053.4,5388.0
Республика Марий Эл,2006,38.6,15.9,708.6,192.0
Республика Мордовия,2006,32.9,16.2,857.9,270.0
Республика Татарстан (Татарстан),2006,34.8,13.1,3763.1,5164.0
Удмуртская Республика,2006,54.4,14.3,1538.6,429.0
Чувашская Республика — Чувашия,2006,40.9,14.8,1268.6,832.0
Пермский край,2006,54.4,16.7,2691.6,1934.0
Кировская область,2006,39.3,18,1396.0,1129.0
Нижегородская область,2006,30.9,19,3384.3,1682.0
Оренбургская область,2006,39.6,15.2,2067.9,1703.0
Пензенская область,2006,32.5,17,1411.7,77.0
Самарская область,2006,40.2,15.5,3224.0,4088.0
Саратовская область,2006,32.9,15.7,2572.4,7515.0
Ульяновская область,2006,52.1,16.3,1325.9,950.0
Курганская область,2006,36.0,16.8,946.1,377.0
Свердловская область,2006,39.4,15.5,4330.6,12702.0
Тюменская область,2006,53.3,9.4,3306.7,10146.0
Ханты-Мансийский автономный округ — Югра,2006,62.9,6.8,1475.2,8846.0
Ямало-Ненецкий автономный округ,2006,54.7,5.8,521.6,100.0
Челябинская область,2006,46.8,15.5,3497.0,8902.0
Республика Алтай,2006,75.6,14.1,201.8,12.0
Республика Тыва,2006,44.8,12.6,302.4,27.0
Республика Хакасия,2006,44.6,14.9,531.1,323.0
Алтайский край,2006,42.4,15.5,2473.0,985.0
Красноярский край,2006,41.3,14.1,2845.4,3063.0
Иркутская область,2006,54.4,15.4,2467.4,2049.0
Кемеровская область — Кузбасс,2006,45.8,17.5,2786.0,5028.0
Новосибирская область,2006,42.1,15.2,2647.2,937.0
Омская область,2006,58.3,15,2003.3,1151.0
Томская область,2006,50.6,13.6,1023.1,2385.0
Республика Бурятия,2006,26.8,14.4,964.6,329.0
Республика Саха (Якутия),2006,31.8,9.7,956.1,1126.0
Забайкальский край,2006,31.7,15.6,1115.1,631.0
Камчатский край,2006,46.4,11.8,330.8,27.0
Приморский край,2006,41.7,15,1988.6,1941.0
Хабаровский край,2006,42.6,15.3,1359.9,1323.0
Амурская область,2006,42.4,15.9,850.5,770.0
Магаданская область,2006,53.2,13.3,166.9,315.0
Сахалинская область,2006,48.9,15.2,513.4,267.0
Еврейская автономная область,2006,41.5,16.5,179.4,10.0
Чукотский автономный округ,2006,38.3,11.1,52.9,170.0
Белгородская область,2007,43.0,14.8,1520.1,1675.0
Брянская область,2007,32.3,17.9,1303.3,117.0
Владимирская область,2007,43.8,18.5,1466.8,337.0
Воронежская область,2007,22.4,17.3,2344.4,3292.0
Ивановская область,2007,29.2,18.8,1081.1,254.0
Калужская область,2007,30.7,17.1,1017.7,144.0
Костромская область,2007,31.3,18.1,683.4,247.0
Курская область,2007,28.8,18.2,1151.9,6083.0
Липецкая область,2007,29.6,16.8,1186.7,2074.0
Московская область,2007,27.6,16.1,6895.4,3925.0
Орловская область,2007,33.6,17.8,805.2,384.0
Рязанская область,2007,44.9,18.9,1174.3,2515.0
Смоленская область,2007,32.8,19.1,1009.0,4721.0
Тамбовская область,2007,20.9,17.4,1116.4,242.0
Тверская область,2007,39.3,20.5,1387.0,4581.0
Тульская область,2007,31.6,20.1,1588.0,2940.0
Ярославская область,2007,40.0,17.8,1292.5,593.0
г. Москва,2007,29.9,11.1,11186.9,6015.0
Республика Карелия,2007,51.2,16.6,659.4,1056.0
Республика Коми,2007,55.9,13.1,934.9,1441.0
Архангельская область,2007,51.8,14.9,1257.2,855.0
Ненецкий автономный округ,2007,63.9,12.6,41.9,7.0
Вологодская область,2007,41.2,16,1219.8,3721.0
Калининградская область,2007,44.7,15.4,935.3,255.0
Ленинградская область,2007,25.0,17.6,1692.5,1353.0
Мурманская область,2007,41.2,12.2,815.1,1018.0
Новгородская область,2007,36.0,20.1,652.2,582.0
Псковская область,2007,26.7,21,699.6,8.0
г. Санкт-Петербург,2007,47.9,14.2,4764.8,684.0
Республика Адыгея (Адыгея),2007,26.1,14.7,437.9,29.0
Республика Калмыкия,2007,35.1,10.7,291.7,0.97
Краснодарский край,2007,25.1,14.3,5170.7,1198.0
Астраханская область,2007,32.4,14,1005.9,264.0
Волгоградская область,2007,38.1,14.6,2623.1,1760.0
Ростовская область,2007,23.6,14.8,4297.6,2073.0
Республика Дагестан,2007,47.1,5.6,2788.6,20.0
Республика Ингушетия,2007,34.7,4,406.6,26.0
Кабардино-Балкарская Республика,2007,12.6,9.8,857.3,15.0
Карачаево-Черкесская Республика,2007,27.0,10,466.4,61.0
Республика Северная Осетия — Алания,2007,23.2,11,711.5,37.0
Чеченская Республика,2007,33.6,4.8,1196.9,0.0
Ставропольский край,2007,22.5,13.1,2759.7,960.0
Республика Башкортостан,2007,36.5,13.6,4054.8,5575.0
Республика Марий Эл,2007,44.2,15.2,704.9,207.0
Республика Мордовия,2007,36.9,15.6,851.7,273.0
Республика Татарстан (Татарстан),2007,34.2,13,3766.8,5216.0
Удмуртская Республика,2007,54.4,14.1,1533.0,420.0
Чувашская Республика — Чувашия,2007,44.1,14.7,1263.0,531.0
Пермский край,2007,53.4,15.9,2674.0,2076.0
Кировская область,2007,38.7,17.2,1379.4,1147.0
Нижегородская область,2007,30.5,18.3,3362.8,1543.0
Оренбургская область,2007,37.0,15,2055.7,1710.0
Пензенская область,2007,31.2,15.9,1405.4,84.0
Самарская область,2007,40.8,15.1,3220.9,3878.0
Саратовская область,2007,31.0,15.5,2558.3,7388.0
Ульяновская область,2007,52.3,15.7,1316.2,953.0
Курганская область,2007,40.3,16.3,934.5,378.0
Свердловская область,2007,41.5,14.9,4320.1,12713.0
Тюменская область,2007,49.3,9.1,3330.6,10661.0
Ханты-Мансийский автономный округ — Югра,2007,55.5,6.8,1491.2,9318.0
Ямало-Ненецкий автономный округ,2007,54.9,5.6,524.0,61.0
Челябинская область,2007,50.1,15,3489.1,9122.0
Республика Алтай,2007,66.3,12.7,203.1,14.0
Республика Тыва,2007,53.8,12.2,303.8,32.0
Республика Хакасия,2007,46.2,13.8,531.3,318.0
Алтайский край,2007,41.6,15.2,2453.5,1001.0
Красноярский край,2007,42.1,13.5,2837.0,3182.0
Иркутская область,2007,57.0,14.3,2455.4,2033.0
Кемеровская область — Кузбасс,2007,40.7,16.8,2780.2,4998.0
Новосибирская область,2007,44.1,14.7,2642.7,885.0
Омская область,2007,54.5,14.8,1993.3,1154.0
Томская область,2007,43.5,12.9,1026.3,2414.0
Республика Бурятия,2007,26.2,13.3,965.2,276.0
Республика Саха (Якутия),2007,27.9,9.6,958.9,1045.0
Забайкальский край,2007,31.7,14.5,1111.4,917.0
Камчатский край,2007,53.1,11.7,327.9,24.0
Приморский край,2007,43.1,14.7,1977.4,1806.0
Хабаровский край,2007,43.1,14.7,1354.9,1296.0
Амурская область,2007,40.8,14.7,844.3,774.0
Магаданская область,2007,63.6,13.3,164.0,329.0
Сахалинская область,2007,50.2,14.4,509.4,281.0
Еврейская автономная область,2007,47.6,15.6,178.7,9.0
Чукотский автономный округ,2007,41.0,11.3,52.8,168.0
Белгородская область,2008,46.7,14.7,1526.3,1533.0
Брянская область,2008,30.1,17.8,1294.3,113.0
Владимирская область,2008,45.4,18.5,1457.9,316.0
Воронежская область,2008,21.3,17.2,2339.0,3508.0
Ивановская область,2008,25.9,19.3,1074.3,257.0
Калужская область,2008,28.0,17.1,1015.6,144.0
Костромская область,2008,27.4,18.4,677.8,341.0
Курская область,2008,30.6,18.5,1143.3,5247.0
Липецкая область,2008,30.3,16.9,1182.0,2032.0
Московская область,2008,27.4,16.1,6958.0,3576.0
Орловская область,2008,30.6,17.6,798.9,369.0
Рязанская область,2008,44.4,18.4,1167.9,2681.0
Смоленская область,2008,31.3,19.2,1000.7,5187.0
Тамбовская область,2008,21.5,17.6,1107.8,233.0
Тверская область,2008,36.6,20.6,1375.4,4579.0
Тульская область,2008,31.2,20.1,1576.4,3058.0
Ярославская область,2008,42.2,17.7,1286.1,613.0
г. Москва,2008,28.6,11.1,11281.6,5797.0
Республика Карелия,2008,49.8,17,653.7,1056.0
Республика Коми,2008,51.5,13.2,922.3,1460.0
Архангельская область,2008,48.8,14.8,1246.2,875.0
Ненецкий автономный округ,2008,67.9,12.8,41.8,7.0
Вологодская область,2008,43.5,16.4,1214.2,3655.0
Калининградская область,2008,41.3,15.3,936.6,255.0
Ленинградская область,2008,24.1,17.3,1698.9,1358.0
Мурманская область,2008,39.9,12.5,805.6,1053.0
Новгородская область,2008,33.3,20.9,645.4,572.0
Псковская область,2008,24.7,21.8,690.3,6.0
г. Санкт-Петербург,2008,47.0,14,4798.7,806.0
Республика Адыгея (Адыгея),2008,24.0,15,439.4,29.0
Республика Калмыкия,2008,23.6,10.2,290.3,0.9
Краснодарский край,2008,24.7,14.1,5194.4,1216.0
Астраханская область,2008,29.9,13.5,1009.9,265.0
Волгоградская область,2008,36.9,14.4,2618.1,1716.0
Ростовская область,2008,23.7,14.9,4292.5,2280.0
Республика Дагестан,2008,43.6,5.6,2826.5,20.0
Республика Ингушетия,2008,42.2,3.8,409.2,26.0
Кабардино-Балкарская Республика,2008,12.9,9.4,858.1,13.0
Карачаево-Черкесская Республика,2008,26.4,10.1,470.1,61.0
Республика Северная Осетия — Алания,2008,22.5,11.2,711.7,39.0
Чеченская Республика,2008,28.3,4.5,1224.4,0.0
Ставропольский край,2008,21.7,13.1,2767.6,938.0
Республика Башкортостан,2008,34.7,13.7,4059.4,5185.0
Республика Марий Эл,2008,39.8,15.2,701.6,214.0
Республика Мордовия,2008,36.6,15.5,845.0,272.0
Республика Татарстан (Татарстан),2008,36.3,13,3773.5,5399.0
Удмуртская Республика,2008,49.1,14,1528.2,422.0
Чувашская Республика — Чувашия,2008,47.7,14.6,1258.2,440.0
Пермский край,2008,54.8,15.8,2660.4,2178.0
Кировская область,2008,37.8,17.5,1365.0,1084.0
Нижегородская область,2008,29.7,18.2,3343.7,1547.0
Оренбургская область,2008,37.7,15.1,2044.3,1755.0
Пензенская область,2008,32.3,16.1,1398.1,84.0
Самарская область,2008,38.5,15,3221.5,3798.0
Саратовская область,2008,27.5,15.4,2545.3,7593.0
Ульяновская область,2008,47.5,15.2,1308.7,919.0
Курганская область,2008,40.2,16.7,925.2,396.0
Свердловская область,2008,37.4,15,4314.3,12754.0
Тюменская область,2008,49.6,9.2,3351.7,10572.0
Ханты-Мансийский автономный округ — Югра,2008,52.2,6.8,1504.3,9218.0
Ямало-Ненецкий автономный округ,2008,51.7,5.7,523.0,63.0
Челябинская область,2008,50.0,15.1,3484.8,9126.0
Республика Алтай,2008,44.5,12.5,204.7,15.0
Республика Тыва,2008,41.4,11.6,305.3,16.0
